album_name,listeners,playcount,total_tracks,avg_duration_sec,raw_tags,tag_instrumental,tag_orchestral,tag_electronic,tag_ambient,tag_dark,tag_acoustic,tag_epic,tag_relaxing,n_tags,title,metascore,genres,releaseDate,release_year,score_category,is_high_score,log_listeners
Camille 2000 (Original Motion Picture Soundtrack),374915,4964420,22.0,171.7,secretagent|lounge|bossa nova|italian|soundtrack,0,0,0,0,0,0,0,0,5,Perfect Dark (2000),97.0,FPS,2000-05-22,2000.0,Universal (90+),1,12.834457279860802
Grand Theft Auto IV Original Soundtrack,7,38,,,,0,0,0,0,0,0,0,0,0,Grand Theft Auto IV,98.0,Open-World Action,2008-04-29,2008.0,Universal (90+),1,2.0794415416798357
"The Music of Grand Theft Auto V, Vol. 1: Original Music",683433,7816400,18.0,195.6,video game soundtrack|pop|hip hop|synthpop|soundtrack,0,1,1,0,0,0,0,0,5,Grand Theft Auto V,97.0,Open-World Action,2014-11-18,2014.0,Universal (90+),1,13.434885368669558
The Legend of Zelda: Ocarina of Time Original Soundtrack,269,10450,,,instrumental|ost|nostalgic|childhood|i miss it so much,1,0,0,0,0,0,0,0,5,The Legend of Zelda: Ocarina of Time,99.0,Open-World Action,1998-11-23,1998.0,Universal (90+),1,5.598421958998375
The Music of Red Dead Redemption 2 (Original Soundtrack),205200,4132939,13.0,196.8,americana|post-rock|contemporary folk|neo-soul|soul blues,0,0,0,0,0,1,0,0,5,Red Dead Redemption 2,97.0,Open-World Action,2018-10-26,2018.0,Universal (90+),1,12.231745265561225
Super Mario Galaxy 2 Original Soundtrack,371,23557,,,,0,0,0,0,0,0,0,0,0,Super Mario Galaxy 2,97.0,3D Platformer,2010-05-23,2010.0,Universal (90+),1,5.918893854273146
Super Mario Galaxy Original Soundtrack,1766,129161,81.0,96.4,video game music|instrumental|soundtrack|orchestral|super mario,1,1,1,0,0,0,0,0,5,Super Mario Galaxy,97.0,3D Platformer,2007-11-12,2007.0,Universal (90+),1,7.4770384723196965
the legend of zelda: breath of the wild original soundtrack,1382,87159,,,ambient|classic|minimalist|impressionist|impressionism,0,0,0,1,0,0,0,0,5,The Legend of Zelda: Breath of the Wild,97.0,Open-World Action,2017-03-03,2017.0,Universal (90+),1,7.232010331664759
Grand Theft Auto Online: Arena War (Official Soundtrack),23054,268957,9.0,155.3,experimental|noise rock|electronic|instrumental|noise,1,0,1,0,0,0,0,0,5,Grand Theft Auto III,97.0,Open-World Action,2001-10-22,2001.0,Universal (90+),1,10.045637944640806
Metroid Prime Original Soundtrack,77,5237,,,,0,0,0,0,0,0,0,0,0,Metroid Prime,97.0,FPS,2002-11-17,2002.0,Universal (90+),1,4.356708826689592
Halo: Combat Evolved (Original Soundtrack),57543,557040,,,,0,0,0,0,0,0,0,0,0,Halo: Combat Evolved,97.0,FPS,2001-11-15,2001.0,Universal (90+),1,10.960305151547193
