album_name,listeners,playcount,total_tracks,avg_duration_sec,raw_tags,tag_instrumental,tag_orchestral,tag_electronic,tag_ambient,tag_dark,tag_acoustic,tag_epic,tag_relaxing,n_tags,title,metascore,genres,releaseDate
Camille 2000 (Original Motion Picture Soundtrack),374915,4964420,22.0,171.7,secretagent|lounge|bossa nova|italian|soundtrack,0,0,0,0,0,0,0,0,5,Perfect Dark (2000),97.0,FPS,2000-05-22
Grand Theft Auto IV Original Soundtrack,7,38,,,,0,0,0,0,0,0,0,0,0,Grand Theft Auto IV,98.0,Open-World Action,2008-04-29
"The Music of Grand Theft Auto V, Vol. 1: Original Music",683433,7816400,18.0,195.6,video game soundtrack|pop|hip hop|synthpop|soundtrack,0,1,1,0,0,0,0,0,5,Grand Theft Auto V,97.0,Open-World Action,2014-11-18
The Legend of Zelda: Ocarina of Time Original Soundtrack,269,10450,,,instrumental|ost|nostalgic|childhood|i miss it so much,1,0,0,0,0,0,0,0,5,The Legend of Zelda: Ocarina of Time,99.0,Open-World Action,1998-11-23
The Music of Red Dead Redemption 2 (Original Soundtrack),205200,4132939,13.0,196.8,americana|post-rock|contemporary folk|neo-soul|soul blues,0,0,0,0,0,1,0,0,5,Red Dead Redemption 2,97.0,Open-World Action,2018-10-26
Super Mario Galaxy 2 Original Soundtrack,371,23557,,,,0,0,0,0,0,0,0,0,0,Super Mario Galaxy 2,97.0,3D Platformer,2010-05-23
Super Mario Galaxy Original Soundtrack,1766,129161,81.0,96.4,video game music|instrumental|soundtrack|orchestral|super mario,1,1,1,0,0,0,0,0,5,Super Mario Galaxy,97.0,3D Platformer,2007-11-12
the legend of zelda: breath of the wild original soundtrack,1382,87159,,,ambient|classic|minimalist|impressionist|impressionism,0,0,0,1,0,0,0,0,5,The Legend of Zelda: Breath of the Wild,97.0,Open-World Action,2017-03-03
Grand Theft Auto Online: Arena War (Official Soundtrack),23054,268957,9.0,155.3,experimental|noise rock|electronic|instrumental|noise,1,0,1,0,0,0,0,0,5,Grand Theft Auto III,97.0,Open-World Action,2001-10-22
Metroid Prime Original Soundtrack,77,5237,,,,0,0,0,0,0,0,0,0,0,Metroid Prime,97.0,FPS,2002-11-17
Halo: Combat Evolved (Original Soundtrack),57543,557040,,,,0,0,0,0,0,0,0,0,0,Halo: Combat Evolved,97.0,FPS,2001-11-15
Bioshock Original Soundtrack,323,11657,,,,0,0,0,0,0,0,0,0,0,BioShock,96.0,FPS,2007-08-21
Half-Life 2 Original Soundtrack,2079,166785,,,video game|valve,0,0,0,0,0,0,0,0,2,Half-Life 2,96.0,FPS,2004-11-16
GoldenEye 007 Original Soundtrack,17,315,,,,0,0,0,0,0,0,0,0,0,GoldenEye 007,96.0,FPS,1997-08-25
Resident Evil Requiem Original Soundtrack,14348,236642,30.0,242.9,,0,0,0,0,0,0,0,0,0,Resident Evil 4 (2005),96.0,Survival,2005-01-11
Uncharted 2: Among Thieves (Original Soundtrack),16769,99579,20.0,,,0,0,0,0,0,0,0,0,0,Uncharted 2: Among Thieves,96.0,Linear Action Adventure,2009-10-13
Baldur's Gate 3 Original Soundtrack,172,6838,,,,0,0,0,0,0,0,0,0,0,Baldur's Gate 3,96.0,Western RPG,2023-08-03
Super Mario Odyssey Original Soundtrack,167,7321,,,,0,0,0,0,0,0,0,0,0,Super Mario Odyssey,97.0,3D Platformer,2017-10-27
THE HOUSE IN FATA MORGANA DREAMS OF THE REVENANTS EDITION Original Soundtrack,29,4642,,,,0,0,0,0,0,0,0,0,0,The House in Fata Morgana - Dreams of the Revenants Edition -,96.0,Visual Novel,2021-04-09
Mass Effect 2 (Original Soundtrack),38284,483775,27.0,239.1,soundtrack|2010|epic|ambient|mass effect,0,0,0,1,0,0,1,0,5,Mass Effect 2,96.0,Western RPG,2010-01-26
Half-Life Original Soundtrack,84,15059,,,,0,0,0,0,0,0,0,0,0,Half-Life,96.0,FPS,1998-11-19
ELDEN RING ORIGINAL SOUNDTRACK,769,44012,67.0,181.9,,0,0,0,0,0,0,0,0,0,Elden Ring,96.0,Action RPG,2022-02-25
The Elder Scrolls V: Skyrim Original Soundtrack,183,64234,,,,0,0,0,0,0,0,0,0,0,The Elder Scrolls V: Skyrim,96.0,Western RPG,2011-11-11
The Legend Of Zelda: Tears of the Kingdom Original Soundtrack,179,36921,,,,0,0,0,0,0,0,0,0,0,The Legend of Zelda: Tears of the Kingdom,96.0,Open-World Action,2023-05-12
The Legend of Zelda: The Wind Waker Original Soundtrack,117,4154,,,zelda,0,0,0,0,0,0,0,0,1,The Legend of Zelda: The Wind Waker,96.0,Open-World Action,2003-03-24
Baldur's Gate II: Shadows of Amn Original Soundtrack,22,1923,,,,0,0,0,0,0,0,0,0,0,Baldur's Gate II: Shadows of Amn,95.0,Western RPG,2000-09-24
The Legend Of Zelda: Tears of the Kingdom Original Soundtrack,179,36921,,,,0,0,0,0,0,0,0,0,0,The Legend of Zelda: Tears of the Kingdom - Nintendo Switch 2 Edition,95.0,Open-World Action,2025-06-05
